X,Y,OBJECTID,ifc_uid,Type_Description,Session_Key,Object_Metadata,Botanical_ID,Planning_Ref_No,Number_Trees,Data_Sheet_URL,created_user,created_date,last_edited_user,last_edited_date,address,full_address,lat,long,place_id
525795.481100000441074,5250810.522199999541,24,1480345,PLANNING Significant Trees,Sketch,,"Populus nigra cv. ""Italica""",E2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/E2 6 Elboden St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,6 Elboden St,"6 Elboden St, South Hobart TAS 7004, Australia",-42.8944737,147.316604,ChIJO7wFk_N1bqoRy4D0BFcz73c
525962.194500000216067,5251114.9554,25,1480387,PLANNING Significant Trees,Sketch,,Tilea x europaea,M1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M1 326 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,326 Macquarie St,"326 Macquarie St, South Hobart TAS 7004, Australia",-42.8922627,147.3178752,ChIJbYRLLvN1bqoR9dncDLEF6OY
527086.210900000296533,5252962.5548,26,1482102,PLANNING Significant Trees,Sketch,,Pinus sabiniana,D4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D4 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,2 Davies Ave,"2 Davies Ave, Hobart TAS 7000, Australia",-42.8739242,147.3291144,ChIJSaLpZXZ1bqoRrHmbUxWHla4
526812.549599999561906,5252035.567499999888,45,1482008,PLANNING Significant Trees,Sketch,,Quercus ilex,M9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M9 23 Murray St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,23 Murray St,"23 Murray St, Evandale TAS 7212, Australia",-41.56973199999999,147.2498764,ChIJM9JvRCGWcKoRAg0N6srSfVs
522430.895999999716878,5250308.794099999592,46,1482011,PLANNING Significant Trees,Sketch,,Euc. viminalis,S3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S3 209 Strickland Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,209 Strickland Ave,"209 Strickland Ave, South Hobart TAS 7004, Australia",-42.8995547,147.2755555,EjQyMDkgU3RyaWNrbGFuZCBBdmUsIFNvdXRoIEhvYmFydCBUQVMgNzAwNCwgQXVzdHJhbGlhIhsSGQoUChIJpzGTQXZ2bqoRaum5da6q5-QQ0QE
526921.482599999755621,5252912.4824,47,1482124,PLANNING Significant Trees,Sketch,,Araucaria columellaris,B19,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B19 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526922.764000000432134,5252923.0466,48,1482125,PLANNING Significant Trees,Sketch,,Casaurina obesa,B20,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B20 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526830.508600000292063,5252831.252399999648,49,1480304,PLANNING Significant Trees,Sketch,,Abies numidica,B7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B7 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
523001.479100000113249,5250914.9117,50,1483122,PLANNING Significant Trees,Sketch,,Notelaea ligustrina,O1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/O1 14 Old Farm Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,14 Old Farm Rd,"14 Old Farm Rd, South Hobart TAS 7004, Australia",-42.8939981,147.2814754,ChIJY_04z9t1bqoRMsklqMW2Vnc
527083.3207,5252978.281299999915,51,1482101,PLANNING Significant Trees,Sketch,,Pinus ponderosa,D3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D3 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,2 Davies Ave,"2 Davies Ave, Hobart TAS 7000, Australia",-42.8739242,147.3291144,ChIJSaLpZXZ1bqoRrHmbUxWHla4
525322.324,5253586.0525,53,1482005,PLANNING Significant Trees,Sketch,,Betula pendula,M6,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M6 16 Mortimer Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,16 Mortimer Ave,"16 Mortimer Ave, Mount Stuart TAS 7000, Australia",-42.8699412,147.3096261,ChIJRQNrjad1bqoRSmQVRkk2CzI
525321.3267,5253580.964399999939,54,1482006,PLANNING Significant Trees,Sketch,,Betula pendula,M7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M7 18 Mortimer Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,18 Mortimer Ave,"18 Mortimer Ave, Mount Stuart TAS 7000, Australia",-42.8700068,147.3098678,ChIJnQ-Hjqd1bqoRxyZGTsW1_Wk
524896.852199999616,5253175.03199999966,55,1482007,PLANNING Significant Trees,Sketch,,"Taxus baccata ""Aurea""",M8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M8 55 Mount Stuart Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,55 Mount Stuart Rd,"55 Mount Stuart Rd, Mount Stuart TAS 7000, Australia",-42.8736834,147.3046261,ChIJC40C6qV1bqoRLlqFzqvf08o
524989.566700000315905,5252822.9444,58,1482012,PLANNING Significant Trees,Sketch,,Acer palmatum,S4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S4 9 Summerhill Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,9 Summerhill Rd,"9 Summerhill Rd, West Hobart TAS 7000, Australia",-42.8767342,147.3058264,ChIJNxm1l6R1bqoRDr6KPEALIBk
521858.56180000025779,5247659.9839,59,1482013,PLANNING Significant Trees,Sketch,,Euc. pulchella,S5,2,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S5 64 Summerleas Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,64 Summerleas Rd,"64 Summerleas Rd, Fern Tree TAS 7054, Australia",-42.9229705,147.2677322,ChIJtYCZTTp2bqoR0s8cLVDhSk8
525678.2489,5250856.688299999572,60,1482015,PLANNING Significant Trees,Sketch,,Sophora microphylla,W2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W2 4 Weld St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,4 Weld St,"4 Weld St, South Hobart TAS 7004, Australia",-42.8946238,147.3144003,ChIJi6g9zPN1bqoRgT1VT1PNRP0
525682.134200000204146,5250834.5718,61,1482014,PLANNING Significant Trees,Sketch,,Cupressus spp.,W1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W1 4 Weld St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,4 Weld St,"4 Weld St, South Hobart TAS 7004, Australia",-42.8946238,147.3144003,ChIJi6g9zPN1bqoRgT1VT1PNRP0
524745.1288,5250622.086299999617,62,1482017,PLANNING Significant Trees,Sketch,,Euc. globulus,W4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W4 adj. 98 Wentworth St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,98 Wentworth St,"98 Wentworth St, South Hobart TAS 7004, Australia",-42.8968336,147.3031063,ChIJYSF5feV1bqoRO32reO-3iIk
525798.817099999636412,5251348.7925,63,1480385,PLANNING Significant Trees,Sketch,,Cupressus lusitanica,L2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L2 394 Liverpool St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,394 Liverpool St,"394 Liverpool St, West Hobart TAS 7000, Australia",-42.8901792,147.3162269,ChIJd-YGXY11bqoRfHyESceuCkg
527872.572999999858439,5248859.858099999838,64,1480386,PLANNING Significant Trees,1:1 (Field Survey),,"Fraxinus excelsior ""Aurea""",L3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L3 1 Longview Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,1 Longview Ave,,,,
525509.809500000439584,5255488.1951,66,1485289,PLANNING Significant Trees,Sketch,,Araucaria heterophylla,B2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B2 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,61 Bay Rd,"61 W Bay Rd, Rowella TAS 7270, Australia",-41.1798384,146.9229904,ChIJQWk2-bkfeqoRlQqTxRbivhc
525454.0614,5255498.0004,67,1485290,PLANNING Significant Trees,Sketch,,Photinia serrulata,B5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B5 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,61 Bay Rd,"61 W Bay Rd, Rowella TAS 7270, Australia",-41.1798384,146.9229904,ChIJQWk2-bkfeqoRlQqTxRbivhc
525480.169499999843538,5255456.1725,68,1485291,PLANNING Significant Trees,Sketch,,Juglans regia,B4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B4 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,61 Bay Rd,"61 W Bay Rd, Rowella TAS 7270, Australia",-41.1798384,146.9229904,ChIJQWk2-bkfeqoRlQqTxRbivhc
525472.5636,5255447.269399999641,69,1485292,PLANNING Significant Trees,Sketch,,Corynocarpus laevigatus,B3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B3 61 Bay Road.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,61 Bay Road,"Tasmania, Australia",-41.4545196,145.9706647,ChIJz_o0fifteqoRZEBAKd2ljyo
